Time_s,Y_Position_m,Max_Temperature_C,Time_min,flame_length_m
30,1.0,920.99,0.5,0.0
60,1.0,921.3699999999999,1.0,0.0
90,1.0,925.0,1.5,0.0
120,1.0,925.04,2.0,0.0
150,1.0,925.04,2.5,0.0
180,1.0,925.04,3.0,0.0
210,1.0,925.04,3.5,0.0
240,1.0,925.04,4.0,0.0
270,1.0,925.04,4.5,0.0
300,1.0,925.5,5.0,0.0
330,0.924242,1295.42,5.5,0.07575799999999999
360,0.924242,1295.04,6.0,0.07575799999999999
390,0.924242,1057.23,6.5,0.07575799999999999
420,0.924242,1245.05,7.0,0.07575799999999999
450,1.0,942.4000000000001,7.5,0.0
480,1.0,922.1400000000001,8.0,0.0
510,1.0,960.94,8.5,0.0
540,1.0,923.25,9.0,0.0
570,0.570707,1867.69,9.5,0.42929300000000004
600,1.0,924.3599999999999,10.0,0.0
630,1.0,923.47,10.5,0.0
660,0.59596,1646.07,11.0,0.40403999999999995
690,0.69697,1548.69,11.5,0.30303
720,1.0,922.5799999999999,12.0,0.0
750,1.0,941.8599999999999,12.5,0.0
780,1.0,957.29,13.0,0.0
810,1.0,941.5899999999999,13.5,0.0
840,1.0,954.99,14.0,0.0
870,1.0,941.5,14.5,0.0
900,1.0,941.3399999999999,15.0,0.0
930,1.0,942.0699999999999,15.5,0.0
960,1.0,941.6800000000001,16.0,0.0
990,1.0,941.8199999999999,16.5,0.0
1020,1.0,941.73,17.0,0.0
1050,0.772727,1543.72,17.5,0.22727299999999995
1080,1.0,952.5699999999999,18.0,0.0
1110,1.0,953.1199999999999,18.5,0.0
1140,1.0,953.52,19.0,0.0
1170,1.0,954.1700000000001,19.5,0.0
1200,1.0,954.6099999999999,20.0,0.0
